,Facility Name,NPDES ID,City,State,EPA Region,Reporting Year,Certified Date,Reporting Obligation(s),Amount of Biosolids Generated,Violation Count,Violation Type(s),Management Practice Type(s),Amount of Biosolids Managed - Land Applied,Amount of Biosolids Managed - Surface Disposal,Amount of Biosolids Managed - Incinerated,Amount of Biosolids Managed - Other Management Practice,Pathogen Class(es),check_sewer_permits
2245,CITY OF DUBUQUE,IAL044458,DUBUQUE,IA,7,2022,2023-02-21T09:57:08.258-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1265.28,0,,Land Application,1265.28,,,,Class B,other_system
2248,COUNTY OF HAWAII PAPAIKOU-PAUKAA WWTP,HIL021113,HILO,HI,9,2022,2023-01-19T17:36:52.806-0500,Other,1712.11,0,,Other Management Practice,,,,1712.11,Not Applicable,other_system
2249,HILO WWTP,HIL021377,HILO,HI,9,2022,2023-01-19T17:32:49.245-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1712.11,0,,Other Management Practice,,,,1712.11,Not Applicable,other_system
2250,LACSD - LANCASTER WRP,CAL010513,WHITTIER,CA,9,2022,2023-02-02T16:26:13.330-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",2016.0,0,,Other Management Practice,,,,2016.0,Class A EQ,other_system
2253,CHOWCHILLA WWTP,CAL001023,CHOWCHILLA,CA,9,2022,2023-02-28T11:42:32.258-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",218.63,0,,Other Management Practice,,,,218.0,Class B,other_system
2254,LACSD - VALENCIA WRP,CAL054216,WHITTIER,CA,9,2022,2023-02-02T16:23:25.474-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",5094.0,0,,Other Management Practice,,,,5094.0,Class B,other_system
2255,TULARE LAKE COMPOST,CAL034318,KETTLEMAN CITY,CA,9,2022,2023-02-02T16:20:39.540-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,18220.0,0,,Land Application,18220.0,,,,Class A EQ,other_system
2258,WEST LAFAYETTE WWTP,INL024821,WEST LAFAYETTE,IN,5,2022,2023-01-20T09:27:33.333-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,995.11,0,,"Land Application, Other Management Practice",979.79,,,15.32,Class B,other_system
2262,OLD DEERFIELD W W T P,MAL101940,DEERFIELD,MA,1,2022,2023-01-20T08:43:27.926-0500,Other,25.33,0,,Other Management Practice,,,,25.33,Not Applicable,other_system
2270,AMSTERDAM (C),NYL020290,AMSTERDAM,NY,2,2022,2023-01-20T09:41:50.978-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,847.3296,0,,Other Management Practice,,,,847.3296,Not Applicable,other_system
2271,MISHAWAKA MUNICIPAL WWTP,INL025640,MISHAWAKA,IN,5,2022,2023-01-26T13:27:43.805-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1260.0,0,,Land Application,944.0,,,,Class B,other_system
2274,CITY OF MACON,MOL023221,MACON,MO,7,2022,2023-01-20T10:46:37.638-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,673.0,0,,Land Application,673.0,,,,Class B,other_system
2275,WORTHINGTON INDUSTRIAL,MNL031178,WORTHINGTON,MN,5,2022,2023-02-07T16:35:39.455-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,774.75,0,,Land Application,774.75,,,,Class B,other_system
2276,"SANTA FE, CITY OF (AIRPORT RD",NML022292,SANTA FE,NM,6,2022,2023-02-20T16:15:46.746-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",300.0,0,,"Other Management Practice, Land Application, Surface Disposal",15162.0,44506.0,,1211.0,Class A,other_system
2280,CITY OF WARRENTON,MOL087912,WARRENTON,MO,7,2022,2023-01-20T13:59:50.882-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",105.8,0,,Land Application,105.8,,,,Class B,other_system
2282,CITY OF IOWA CITY,IAL070866,IOWA CITY,IA,7,2022,2023-01-20T12:13:26.135-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1552.0,0,,Land Application,832.0,,,,Class A,other_system
2285,WESTERN WAKE REGIONAL WRF,NCL088846,NEW HILL,NC,4,2022,2023-02-03T12:20:13.262-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,2447.1,0,,Land Application,2407.1,,,,"Class A EQ, Class B",other_system
2286,DENISON MUNICIPAL UTILITIES,IAL023302,DENISON,IA,7,2022,2023-01-20T14:39:27.571-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,298.25,0,,Land Application,298.25,,,,Class B,other_system
2288,OWEGO (T),NYL025798,APALACHIN,NY,2,2022,2023-01-20T13:55:16.878-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,117.85,0,,Land Application,93.44,,,,Class B,other_system
2289,"EMPORIA, CITY OF",KSL046728,EMPORIA,KS,7,2022,2023-02-02T10:00:29.252-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1300.0,0,,Land Application,1300.0,,,,Class B,other_system
2291,UPPER BLACKSTONE W P A D,MAL102369,MILLBURY,MA,1,2022,2023-02-06T13:46:44.994-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",16671.4,0,,Incineration,,,16671.4,,,other_system
2297,ORANGE CO DEPT OF EF AND S,NYL027901,GOSHEN,NY,2,2022,2023-01-20T15:10:57.325-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,1262.88,0,,Other Management Practice,,,,1244.68,Not Applicable,other_system
2298,NORTHEAST PUBLIC SEWER DISTRICT,MOL128490,FENTON,MO,7,2022,2023-01-23T14:56:02.350-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",263.459,0,,Land Application,263.459,,,,Class B,other_system
2299,SIDNEY WWTF,NEL023884,SIDNEY,NE,7,2022,2023-01-25T12:25:34.121-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,113.0,0,,Land Application,113.0,,,,Class B,other_system
2301,"JACKSON, CITY OF",MOL022853,JACKSON,MO,7,2022,2023-01-20T15:51:32.153-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",215.82,0,,Land Application,215.82,,,,Class B,other_system
2302,CITY OF CEDAR RAPIDS,IAL042641,CEDAR RAPIDS,IA,7,2022,2023-01-24T08:10:35.005-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW that serves 10,000 people or more",13713.0,1,Incineration,"Land Application, Incineration",3212.55,,10500.0,,"Class A, Class B",other_system
2304,LARNED WASTEWATER PLANT,KSL098752,LARNED,KS,7,2022,2023-02-14T12:58:07.166-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,34.58,0,,Land Application,34.57,,,,Class B,other_system
2308,FORT KAMEHAMEHA WWTP,HIL110086,PEARL HARBOR,HI,9,2022,2023-02-22T21:48:21.845-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,309.0,0,,Land Application,309.0,,,,Class A,other_system
2309,BARBERS POINT COMPOST,HIL000323,PEARL HARBER,HI,9,2022,2023-02-22T21:46:24.894-0500,A Class I Sludge Management Facility as defined in 40 CFR 503.9,310.0,0,,Land Application,1110.0,,,,Class A,other_system
2312,APRA HARBOR WWTP,GUL110019,AGAT,GU,9,2022,2023-02-08T23:17:25.192-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,61.0,0,,Other Management Practice,,,,61.0,Not Applicable,other_system
2322,ULSTER (T),NYL021563,LAKE KATRINE,NY,2,2022,2023-01-23T09:47:48.623-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",97.46,0,,Other Management Practice,,,,97.46,Not Applicable,other_system
2329,CITY OF FORT DODGE,IAL044849,FORT DODGE,IA,7,2022,2023-02-13T11:17:17.037-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",797.0,0,,Land Application,1534.0,,,,Class B,other_system
2330,DIXON CORRECTIONAL CENTER STP,ILL024724,DIXON,IL,5,2022,2023-01-23T12:00:17.577-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,21.5,0,,Land Application,21.7,,,,Class B,other_system
2331,KJC KENTUCKY STATE REFORMATORY,KYL040126,LA GRANGE,KY,4,2022,2023-01-24T12:07:59.980-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",27.39,0,,Other Management Practice,,,,27.39,Not Applicable,other_system
2333,PRINCETON  WASTEWATER TREATMENT PLANT,INL024392,PRINCETON,IN,5,2022,2023-01-24T08:32:03.691-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,517.0,0,,Land Application,517.0,,,,Class B,other_system
2338,"BROADWAY, TOWN OF REGIONAL WWTF",VALX90263,BROADWAY,VA,3,2022,2023-01-23T13:21:55.394-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,602.0,0,,Land Application,647.0,,,,Class B,other_system
2339,MONTEVIDEO,MNL020133,MONTEVIDEO,MN,5,2022,2023-01-23T12:16:25.638-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,133.85,0,,Land Application,133.85,,,,Class B,other_system
2341,CITY OF RED OAK,IAL040266,RED OAK,IA,7,2022,2023-02-02T14:12:17.210-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,73.5,0,,Land Application,73.5,,,,Class B,other_system
2344,CITY OF WINTERSET,IAL034291,WINTERSET,IA,7,2022,2023-01-24T09:52:53.897-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,88.0,0,,Land Application,88.0,,,,Class B,other_system
2352,NEWTON WW TREATMENT PLANT,NJL020184,NEWTON,NJ,2,2022,2023-03-01T10:12:08.630-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",254.57,0,,Other Management Practice,,,,254.57,Class A,other_system
2370,"BONNER SPRINGS, CITY OF",KSL082881,BONNER SPRINGS,KS,7,2022,2023-01-23T12:50:04.573-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,975.5,0,,Other Management Practice,,,,975.5,Class B,other_system
2371,BLOOMINGTON S (DILLMAN ROAD),INL035718,BLOOMINGTON,IN,5,2022,2023-02-22T15:07:59.177-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",1165.0,0,,Other Management Practice,,,,1165.0,Class B,other_system
2374,"HOBBS, CITY OF",NML000003,HOBBS,NM,6,2022,2023-02-16T18:35:18.435-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",389.62,0,,Land Application,302.04,,,,Class A EQ,other_system
2375,YUCAIPA VALLEY HENRY N. WOCHHOLZ WWTP,CAL105619,YUCAIPA,CA,9,2022,2023-01-23T13:26:24.603-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",792.51,0,,Other Management Practice,,,,792.51,Class B,other_system
2377,COMMANDING OFFICER MARINE CORPS BASE CAMP LEJEUNE,NCL063029,CAMP LEJEUNE,NC,4,2022,2023-02-13T13:39:18.512-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",465.46,0,,Land Application,465.46,,,,Class A EQ,other_system
2381,CITY OF PELLA,IAL043869,PELLA,IA,7,2022,2023-01-23T14:19:40.536-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",97.29,0,,Land Application,97.29,,,,Class B,other_system
2383,CITY OF SUNRISE UTILITIES DEPARTMENT - SOUTHWEST WWTF ,FLL013580,DAVIE,FL,4,2022,2023-02-02T11:13:33.676-0500,Other,67.36,0,,Other Management Practice,,,,67.36,"Class A EQ, Class A",other_system
2384,CITY OF DYERSVILLE,IAL023345,DYERSVILLE,IA,7,2022,2023-01-23T15:46:54.316-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,70.1,0,,Land Application,70.1,,,,Class B,other_system
2385,GREAT NECK WPC DISTRICT,NYL026999,GREAT NECK,NY,2,2022,2023-02-01T13:10:47.524-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",351.61,0,,Other Management Practice,,,,351.61,Not Applicable,other_system
2394,CITY OF ELDORA SEWER TREATMENT PLANT,IAL025933,ELDORA,IA,7,2022,2023-01-23T15:15:58.731-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,27.09,0,,Land Application,27.09,,,,Class B,other_system
2395,LONG PRAIRIE MUNICIPAL WWTF,MNL066079,UNKNOWN,MN,5,2022,2023-01-26T10:47:30.938-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,130.5,0,,Land Application,130.5,,,,Class B,other_system
2398,CITY OF KEARNEY,MOL107883,KEARNEY,MO,7,2022,2023-01-23T16:32:03.404-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,715.0,0,,Land Application,715.0,,,,Class B,other_system
2399,"RIVERTON, CITY OF",WYL020672,RIVERTON,WY,8,2022,2023-02-15T11:06:20.482-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",376.0,0,,Land Application,339.0,,,,Class A,other_system
2401,WASCO WWTP,CAL010514,WASCO,CA,9,2022,2023-03-09T15:48:21.931-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",198.15,0,,Land Application,198.15,,,,Class B,other_system
2402,ERIE NORTH WATER RECLAMATION FACILITY,COL900843,ERIE,CO,8,2022,2023-01-27T09:50:08.743-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",744.84,0,,Land Application,744.84,,,,Class B,other_system
2405,WAUCHULA CITY OF WWTF,FLL119890,WAUCHULA,FL,4,2022,2023-01-31T14:10:06.876-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,42.9,0,,Land Application,42.9,,,,Class B,other_system
2406,CITY OF MEXICO,MOL036242,MEXICO,MO,7,2022,2023-01-25T08:55:07.381-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",195.0,0,,Land Application,195.0,,,,Class B,other_system
2407,CAMARILLO WRP,CAL053597,CAMARILLO,CA,9,2022,2023-01-26T17:31:25.954-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",591.68,0,,Other Management Practice,,,,572.46,Class A,other_system
2410,CITY OF HELENA,MTL022641,HELENA,MT,8,2022,2023-02-07T13:20:59.364-0500,"A Class I Sludge Management Facility as defined in 40 CFR 503.9; A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",428.19,0,,"Land Application, Other Management Practice",173.26,,,254.93,Class B,other_system
2411,LEESBURG TOWN - WATER POLLUTION CONTROL DIVISION,VALL92282,LEESBURG,VA,3,2022,2023-02-13T09:17:07.281-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",886.21,0,,"Land Application, Other Management Practice",745.76,,,140.45,"Class A EQ, Not Applicable",other_system
2412,WEST KNOX UD (WKUD) - MELTON HILL POTW,TNL080721,KNOXVILLE,TN,4,2022,2023-01-24T07:30:52.540-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",812.16,0,,Other Management Practice,,,,812.16,Class B,other_system
2414,MARION W W T F,MAL100030,MARION,MA,1,2022,2023-02-03T08:30:47.992-0500,Other,80.9,0,,Other Management Practice,,,,80.9,Not Applicable,other_system
2421,SAUSALITO-MARIN CITY SANITARY DISTRICT,CAL038067,SAUSALITO,CA,9,2022,2023-03-15T16:57:16.383-0500,"A POTW with a design flow rate equal to or greater than one million gallons per day; A POTW that serves 10,000 people or more",116.20695,0,,Other Management Practice,,,,116.20695,Class B,other_system
2422,SOUTH SANTA ROSA UTILITIES SYSTEM WWTF,FLL010212,GULF BREEZE,FL,4,2022,2023-01-24T10:35:26.838-0500,A POTW with a design flow rate equal to or greater than one million gallons per day,398.77,0,,Land Application,398.77,,,,Class B,other_system
